display_name,industry,cik,all_total_emissions,log_emissions,pred_log_emissions_lang,greenwash_idx_lang,relate,spec,senti,commit,metrics,strategy,governance,risk
Microsoft,Technology,789019,17162000.0,16.65820825361747,15.637278723853163,1.4050270399532443,0.9882352941176472,0.5048076923076923,0.11,0.86,0.1521739130434782,0.8016304347826086,0.0081521739130434,0.0380434782608695
Exxon Mobil,Energy,34088,36792767.3,17.42081187024088,16.455715003137986,1.330836199154574,0.7296037296037297,0.1146496815286624,0.42,0.54,0.0804020100502512,0.7487437185929648,0.0753768844221105,0.0954773869346733
Duke Energy,Utilities,1326160,65077745.6,17.99109321463882,17.063713474610534,1.2807174113914876,0.8123076923076923,0.4482758620689655,0.27,0.65,0.1038251366120218,0.825136612021858,0.0546448087431694,0.0163934426229508
Amazon.com,Retail,1018724,68250000.0,18.038688006681358,17.200825891766627,1.161765751970369,0.717948717948718,0.7714285714285715,0.13,0.9,0.2415094339622641,0.7245283018867924,0.030188679245283,0.0037735849056603
Valero Energy,Energy,1035002,23535216.6,16.97400847857876,16.179351238279146,1.1043548060920538,0.6387755102040816,0.5255474452554745,0.37,0.47,0.2934782608695652,0.5380434782608695,0.1141304347826086,0.0543478260869565
DTE Energy,Utilities,936340,23317452.07,16.964712696929688,16.357797935482946,0.854881259680891,0.8669623059866962,0.553763440860215,0.43,0.47,0.4504132231404958,0.3925619834710744,0.1446280991735537,0.012396694214876
Apple,Technology,320193,15600000.0,16.562781536322326,15.971254347837098,0.8344341428598885,0.9569583931133429,0.740072202166065,0.25,0.83,0.2752941176470588,0.6658823529411765,0.0141176470588235,0.0447058823529411
